783:Kevin Sheedy
784:Paul Caligiuri
785:Milan Luhovy
786:Davor Jozic
787:Careca
788:Fahad Khamees
789:Rinat Dasayev
790:Marius Lacatu?
791:Karl-Heinz Rummenigge
792:José Luis Brown
793:Jorge Valdano
794:Patrick Battiston
795:Jean-Marc Ferreri
796:Jean-Pierre Papin
797:Bernard Genghini
798:Nico Claesen
799:Michel Platini
800:José Antonio Camacho
801:Juan Antonio Señor
802:Edinho
803:Tomás Boy
804:Rogelio Delgado
805:Peter Beardsley
806:Morten Olsen
807:Gaetano Scirea
808:Yannick Stopyra
809:Ezzaki Badou
810:Zbigniew Boniek
811:Josimar
812:Jorge Barrios
813:Georgi Dimitrov
814:Manuel Negrete Arias
815:Raúl Servín
816:Igor Belanov
817:Stéphane Demol
818:Willie Miller
819:Harald Schumacher
820:Mahmoud Guendouz
821:Ramón Calderé
822:Eloy Olaya
823:Sammy McIlroy
824:Roberto Cabañas
825:Franky Vercauteren
826:Daniel Veyt
827:Khalil Allawi
828:Fernando Quirarte
829:Fernando Gomes
830:Diamantino Miranda
831:Abderrazak Khairi
832:Abdelkrim Merry
833:Park Chang-sun
834:Huh Jung-moo
835:Alessandro Altobelli
836:Oleh Blokhin
837:Bruce Wilson
838:Imre Garaba
839:Jean Tigana
840:Dominique Rocheteau
841:Graeme Souness
842:Klaus Allofs
843:Gordon Strachan
844:Raad Hammoudi
845:Ahmed Radhi
846:Eduardo Acevedo
847:Preben Elkjær
848:Soren Lerby
849:Michael Laudrup
850:Jesper Olsen
851:Luis Flores
852:Julio César Romero
853:Colin Clarke
854:Antal Nagy
855:Márton Esterházy
856:Lajos Détári
857:Luis Fernández
858:Vasyl Rats
859:Kim Jong-boo
860:Plamen Getov
861:Antonio Alzamendi
862:Erwin Vandenbergh
863:Hugo Sánchez
864:Djamel Zidane
865:Norman Whiteside
866:Manuel Bento
867:Pavlo Yakovenko
868:Sergei Aleinikov
869:Ivan Yaremchuk
870:Sergey Rodionov
871:Sócrates
872:Dino Zoff
873:Paolo Rossi
874:Marco Tardelli
875:Paul Breitner
876:Wladyslaw Zmuda
877:Marius Trésor
878:Andrzej Szarmach
879:Stefan Majewski
880:Janusz Kupcewicz
881:René Girard
882:Alain Couriol
883:Manfred Kaltz
884:Klaus Fischer
885:Alain Giresse
886:Paulo Roberto Falcao
887:Luis Arconada
888:Mick Mills
889:Martin ONeill
890:Gerry Armstrong
891:Aleksandre Chivadze
892:Daniel Passarella
893:Ramón Díaz
894:Zico
895:Serginho Chulapa
896:Leovegildo Lins da Gama Júnior
897:Jesús María Zamora
898:Erich Obermayer
899:Bruno Pezzey
900:Reinhold Hintermaier
901:Billy Hamilton
902:Walter Meeuws
903:Khoren Oganesian
904:Antonio Cabrini
905:Saad Al-Houti
906:Zdenek Nehoda
907:Ali Fergani
908:Elías Figueroa
909:Salah Assad
910:Tedj Bensaoula
911:Juan Carlos Letelier
912:Ramón Maradiaga
913:Ivica Surjak
914:Thomas NKono
915:Francesco Graziani
916:Grégoire MBida
917:Norberto Huezo
918:Steve Sumner
919:Rubén Toribio Díaz
920:Wlodzimierz Smolarek
921:Grzegorz Lato
922:Andrzej Buncol
923:Wlodzimierz Ciolek
924:Guillermo La Rosa
925:Tibor Nyilasi
926:Alexandre Czerniatynski
927:József Varga
928:Ramaz Shengelia
929:Joe Jordan
930:Walter Schachner
931:Hans Krankl
932:Didier Six
933:Maxime Bossis
934:Abdullah Al-Buloushi
935:Eduardo Laing
936:Uwe Reinders
937:Gustavo Moscoso
938:Enrique Saura
939:Ivan Gudelj
940:Yuri Gavrilov
941:Sergei Pavlovich Baltacha
942:Bruno Conti
943:Éder Aleixo de Assis
944:David Narey
945:Daniel Bertoni
946:Osvaldo Ardiles
947:Gábor Pölöskei
948:Faisal Al-Dakhil
949:Paul Mariner
950:Gérard Soler
951:Rabah Madjer
952:Lakhdar Belloumi
953:Héctor Zelaya
954:László Fazekas
955:József Tóth
956:László Kiss
957:Lázár Szentes
958:Luis Ramírez Zapata
959:Danny McGrain
960:Kenny Dalglish
961:John Wark
962:John Robertson
963:Steve Archibald
964:Steve Wooddin
965:Andriy Bal
966:Ruud Krol
967:Mario Kempes
968:Dick Nanninga
969:Émerson Leao
970:Nelinho
971:Dirceu
972:Franco Causio
973:Ernie Brandts
974:Arie Haan
975:Robert Sara
976:Berti Vogts
977:Bernd Hölzenbein
978:Kazimierz Deyna
979:Roberto Dinamite
980:Héctor Chumpitaz
981:Alberto Tarantini
982:Leopoldo Luque
983:René Houseman
984:Rüdiger Abramczik
985:Dieter Müller
986:René van de Kerkhof
987:Johnny Rep
988:Willy van de Kerkhof
989:Juan Manuel Asensi
990:Björn Nordqvist
991:Ali Parvin
992:José Velásquez
993:Teófilo Cubillas
994:Hassan Rowshan
995:Bruce Rioch
996:Archie Gemmill
997:Zoltán Kereki
998:Christian Lopez
999:Marc Berdoll
1000:Sándor Zombori
1001:Arturo Vázquez Ayala
1002:Víctor Rangel
1003:Témime Lahzami
1004:Iraj Danaeifard
1005:Roberto Bettega
1006:Romeo Benetti
1007:Hansi Müller
1008:Heinz Flohe
1009:Rivellino
1010:Thomas Sjöberg
1011:José Reinaldo de Lima
1012:Pirri
1013:Daniel Ruiz
1014:César Cueto
1015:Renato Zaccarelli
1016:Bernard Lacombe
1017:Ali Kaabi
1018:Néjib Ghommidh
1019:Mokhtar Dhouieb
1020:Károly Csapó
1021:Johan Cruyff
1022:Franz Beckenbauer
1023:Gerd Müller
1024:Marinho Peres
1025:Johan Neeskens
1026:Enrique Wolff
1027:Bernd Bransch
1028:Joachim Streich
1029:Dragan Dzajic
1030:Ralf Edström
1031:Conny Torstensson
1032:Jovan Acimovic
1033:Stanislav Karasi
1034:Miguel Angel Brindisi
1035:Jairzinho
1036:Rob Rensenbrink
1037:Bo Larsson
1038:Wolfgang Overath
1039:Rainer Bonhof
1040:Jürgen Grabowski
1041:Roland Sandberg
1042:Roberto Perfumo
1043:Hristo Bonev
1044:Theo de Jong
1045:Giacinto Facchetti
1046:Fabio Capello
1047:Ladislao Mazurkiewicz
1048:Wilner Nazaire
1049:Héctor Yazalde
1050:Rubén Ayala
1051:Emmanuel Sanon
1052:Billy Bremner
1053:Peter Wilson
1054:Francisco Valdés
1055:Kidumu Mantantu
1056:Wilson da Silva Piazza
1057:Valdomiro Vaz Franco
1058:Jerzy Gorgon
1059:Ricardo Pavoni
1060:Bernhard Cullmann
1061:Dusan Bajevic
1062:Josip Katalinski
1063:Vladislav Bogicevic
1064:Branko Oblak
1065:Ilija Petkovic
1066:Sergio Ahumada
1067:Martin Hoffmann
1068:Juan Carlos Masnik
1069:Gianni Rivera
1070:Pietro Anastasi
1071:Ramón Heredia
1072:Carlos Babington
1073:Peter Lorimer
1074:Carlos Alberto Torres
1075:Pelé
1076:Gérson
1077:Roberto Boninsegna
1078:Uwe Seeler
1079:Luis Ubiña
1080:Tarcisio Burgnich
1081:Luigi Riva
1082:Karl-Heinz Schnellinger
1083:Clodoaldo
1084:Luis Cubilla
1085:Tostao
1086:Alberto Gallardo
1087:Gustavo Peña
1088:José Luis González Dávila
1089:Albert Shesternyov
1090:Bobby Moore
1091:Alan Mullery
1092:Martin Peters
1093:Paul Van Himst
1094:Mordechai Spiegler
1095:Aleksandar Shalamanov
1096:Driss Bamous
1097:Dobromir Zhechev
1098:Maouhoub Ghazouani
1099:Ivo Viktor
1100:Mircea Lucescu
1101:Florea Dumitrache
1102:Emerich Dembrovschi
1103:Salvador Mariona
1104:Anatoliy Byshovets
1105:Javier Valdivia
1106:Javier Fragoso
1107:Juan Ignacio Basaguren
1108:Boris Gaganelov
1109:Reinhard Libuda
1110:Asparuh Nikodimov
1111:Todor Kolev
1112:Tommy Svensson
1113:Tom Turesson
1114:Alexander Horváth
1115:Alexandru Neagu
1116:Ladislav Petrás
1117:Kakhi Asatiani
1118:Vitaliy Khmelnytskyi
1119:Raoul Lambert
1120:Roberto Challe
1121:Wilfried Van Moer
1122:Houmane Jarir
1123:Ivan Dimitrov
1124:Dinko Dermendzhiev
1125:Pedro Rocha
1126:Ildo Maneiro
1127:Juan Mujica
1128:Geoff Hurst
1129:Helmut Haller
1130:Wolfgang Weber
1131:Mário Coluna
1132:Lev Yashin
1133:José Augusto Torres
1134:Eduard Malofeyev
1135:Bobby Charlton
1136:Valeriy Porkujan
1137:Pak Seung-zin
1138:Eusébio
1139:José Augusto de Almeida
1140:Li Dong-woon
1141:Yang Seung-kook
1142:Antonio Rattín
1143:Ferenc Sipos
1144:Igor Chislenko
1145:Ferenc Bene
1146:Horacio Troche
1147:Marcel Artelesa
1148:Roger Hunt
1149:Kálmán Mészöly
1150:Georgi Asparuhov
1151:Ignacio Zoco
1152:Lothar Emmerich
1153:Josep Maria Fusté
1154:Leonel Sánchez
1155:Rubén Marcos
1156:René Brodmann
1157:Luis Artime
1158:Ermindo Onega
1159:Orlando Peçanha
1160:António Simoes
1161:Rildo da Costa Menezes
1162:Giacomo Bulgarelli
1163:Sandro Salvadore
1164:Francisco Gento
1165:Manuel Sanchís
1166:Amancio Amaro
1167:René-Pierre Quentin
1168:Julio César Cortés
1169:Hilderaldo Bellini
1170:János Farkas
1171:Gérard Hausser
1172:Enrique Borja
1173:Sandro Mazzola
1174:Paolo Barison
1175:Garrincha
1176:Anatoliy Banishevskiy
1177:Heinz Schneiter
1178:Sigfried Held
1179:Mauro Ramos
1180:Ladislav Novák
1181:Amarildo Tavares da Silveira
1182:Zito
1183:Vavá
1184:Josef Masopust
1185:Jorge Toro
1186:Milan Galic
1187:Josef Kadraba
1188:Adolf Scherer
1189:Drazan Jerkovic
1190:Sergio Navarro
1191:Igor Netto
1192:Eladio Rojas
1193:Johnny Haynes
1194:Gerry Hitchens
1195:Gyula Grosics
1196:Hans Schäfer
1197:Nikola Kovachev
1198:Antonio Carbajal
1199:Isidoro Díaz
1200:Alfredo del Aguila
1201:Václav Masek
1202:Lorenzo Buffon
1203:Charles Antenen
1204:Bruno Mora
1205:Efraín Sánchez
1206:Vojislav Melic
1207:Aleksei Mamykin
1208:Valentin Kozmich Ivanov
1209:José Sasía
1210:Martín Pando
1211:Enrique Collar
1212:Adelardo Rodríguez
1213:Viktor Ponedelnik
1214:Germán Aceros
1215:Marcos Coll
1216:Antonio Rada
1217:Marino Klinger
1218:László Sárosi
