Rk;Player;Nation;Pos;Squad;Comp;AgeMP;Starts;Min;Goals;Shots;SoT
1192;Mason Holgate;ENG;DF;Everton;Premier League;2525;23;2134;0.08;0.3;0.08
1193;Gerrit Holtmann;PHI;FWMF;Bochum;Bundesliga;2729;23;1840;0.25;2.3;0.98
1194;Martin Hongla;CMR;MF;Hellas Verona;Serie A;2418;7;651;0.14;1.25;0.56
1195;Franck Honorat;FRA;MFFW;Brest;Ligue 1;2534;34;2899;0.34;1.89;0.93
1196;Justin Hoogma;NED;DF;Greuther F�rth;Bundesliga;233;3;270;0;0;0
1197;Sydney van Hooijdonk;NED;FWMF;Bologna;Serie A;224;0;38;0;0;0
1198;Matthew Hoppe;USA;FW;Mallorca;La Liga;215;1;131;0;1.33;0
1199;Jannes Horn;GER;DF;K�ln;Bundesliga;2511;3;478;0;0.57;0.19
1200;Timo Horn;GER;GK;K�ln;Bundesliga;2913;13;1170;0;0;0
1201;Fraser Hornby;SCO;FWMF;Reims;Ligue 1;228;4;350;0;1.54;0.51
1202;C�dric Hountondji;BEN;DF;Clermont Foot;Ligue 1;2823;23;2034;0.04;0.35;0.13
1203;Luk� Hr�deck?;FIN;GK;Leverkusen;Bundesliga;3232;32;2880;0;0;0
1204;Branimir Hrgota;SWE;FW;Greuther F�rth;Bundesliga;2934;33;2777;0.29;1.94;0.65
