433:1950,7,Guillermo Eizaguirre,1451
434:1950,14,Juan Lopez,1398
435:1950,1,Flavio Costa,1456
436:1950,29,Arturo Bucciardi,1467
437:1950,212,Bill Jeffrey,1468
438:1950,6,Ferruccio Novo,1474
439:1950,47,Manuel Fleitas Solich,1475
440:1950,82,Mario Pretto,1478
441:1950,5,Walter Winterbottom,1338
442:1950,15,Franco Andreoli,1405
443:1950,13,Octavio Vial,1481
444:1950,217,Milorad Arsenijevic,1485
445:1938,1,Ademar Pimenta,1506
446:1938,25,Joszef Nagy,1507
447:1938,6,Vittorio Pozzo,1512
448:1938,36,Karoly Dietz,1513
449:1938,216,Vaclav Meissner,1521
450:1938,167,Jose Tapia,1524
451:1938,15,Karl Rappan,1529
452:1938,4,Gaston Barreau,1530
453:1938,11,Sepp Herberger,1533
454:1938,53,Coloman Braun,1538
455:1938,42,Asbjorn Halvorsen,1542
456:1938,220,Johannes Van Mastenbroek,1549
457:1938,2,Jack Butler,1552
458:1938,26,Jozef Kaluza,1556
459:1938,8,Bob Glendenning,1558
460:1934,6,Vittorio Pozzo,1564
461:1934,216,Karel Petru,1528
462:1934,11,Otto Nerz,1533
463:1934,34,Hugo Meisl,1568
464:1934,7,Amadeo Garcia,1575
465:1934,36,Odon Nadas,1576
466:1934,15,Henry Mueller,1532
467:1934,25,Joszef Nagy,1585
468:1934,53,Constantin Radulescu,1588
469:1934,39,James Mcrea,1589
470:1934,4,George Kimpton,1593
471:1934,8,Bob Glendenning,1558
472:1934,3,Felipe Pascucci,1599
473:1934,1,Luiz Vinhaes,1520
474:1934,2,Hector Goetinck,1605
475:1934,212,David Gould,1610
476:1930,14,Alberto Suppici,1613
477:1930,3,Francisco Olazar,1614
478:1930,217,Bosko Simonovic,1621
479:1930,212,Bob Millar,1624
480:1930,29,Gyorgy Orth,1628
481:1930,53,Octav Luchide,1588
482:1930,1,Pindaro De Carvalho,1632
483:1930,82,Ulises Saucedo,1633
484:1930,47,Jose Durand Laguna,1635
485:1930,2,Hector Goetinck,1636
486:1930,4,Raoul Caudron,1638
487:1930,13,Juan Luque,1640
488:1930,23,Francisco Bru,1645
